upi_txn_count,avg_txn_value,bill_payments,wallet_balance,sms_count,data_usage_gb,ecom_purchases,refund_count,income_bracket,age,txn_variance,credit_score,is_fraud
107,920.0055430342967,5,9803.079024896293,750,26.11099421213187,20,5,3,34,637.1775676036682,384.5057364817559,1
353,1639.615958714361,3,4830.996635420201,1745,9.272165173599934,3,3,3,47,700.787497815218,372.13393325409595,0
275,1224.976149297913,1,5369.349558374864,1093,5.294870630326882,26,0,2,38,682.2929757698267,309.59436386292873,1
111,1481.2887375497148,3,1766.5358635993891,1438,20.430828633148177,1,2,4,30,623.9913554071732,409.47843720766326,0
76,1855.2150647175365,0,2544.383524009097,1000,1.6235458676799186,1,4,3,18,222.55126070630874,355.13748823795476,0
193,1416.4685515785716,6,8401.637227538,1784,18.789072663787845,4,3,1,18,651.3928184189703,380.0726093509106,0
25,1487.0118149188597,1,3626.2379064641823,1685,21.096853704956743,22,2,1,50,431.44799596597124,361.117162578767,0
107,1432.9234291804712,1,8285.468240584549,2023,6.840037675908215,9,0,4,55,51.67772571735175,347.42829138233276,0
126,977.9929335806589,8,7119.235870441615,1881,1.7379401665872114,9,1,5,42,370.98169141961665,324.35337578478135,0
219,876.7447429861993,4,1853.9921601914684,1236,11.227538088123763,8,4,2,43,754.3047544536947,318.50214177006495,0
335,2254.1361230052803,1,5123.719024585447,2317,3.4085297921371263,12,5,1,30,711.4088862910867,319.4487918762739,0
92,1538.5102946192535,8,6806.134483035296,2044,3.9360965653634437,6,0,1,45,90.78878198772168,371.6264900651157,0
377,648.6652308884036,8,2426.8684265578686,1137,8.000706327623504,4,3,4,50,597.8600817143525,325.1406511702424,1
104,1270.7068597299035,0,8323.816254148762,1838,9.216303776489399,25,3,5,54,646.5763641070055,384.97326911416945,0
364,859.3537791382392,2,5493.793809697349,387,16.134125060131908,9,1,5,58,224.3966687070442,409.0480669326769,0
156,2337.544968211693,3,1735.8962993817718,2336,20.512560622338885,9,1,4,47,382.57077088546293,402.4277826864498,1
135,68.45918967848311,6,5871.545819029564,1690,17.986742755670452,5,4,1,25,571.6804737563095,336.24625053613113,0
154,602.0653543956942,9,9997.166661143548,1845,4.876629950040746,26,5,2,18,356.84277616870685,300.0,0
313,945.1242082014412,3,1590.162767467794,1198,5.57653795735248,27,4,1,29,99.10956590459578,334.40235864550385,0
262,1245.1340119814079,1,8185.893608183328,2424,26.423692868890978,18,1,5,22,567.64713129856,450.5271483360663,0
348,2134.5029186985585,6,2152.3591315568237,1039,16.97139329439135,20,1,1,41,730.1945648908898,397.3609810575598,0
298,265.3246801233525,5,7845.644461654864,1548,26.163166070481825,7,3,2,23,525.4629354408645,373.82462408928166,0
390,2024.3689725158015,2,7372.321438901991,670,11.460622083936293,0,1,3,42,621.3025913695368,408.1413129213706,0
196,186.35104892458958,5,3074.8449174442803,1100,18.624800219224053,27,2,1,18,293.1064031696845,389.5905517427758,0
281,2113.6693864805447,5,3325.6488638880533,1305,15.948070773611017,16,0,4,42,154.72661365004154,419.0140860494625,0
165,176.50692079255646,4,7945.9617804329,1017,9.914142949703646,6,1,3,18,517.7911926784511,359.68319650774174,0
318,94.69407949948456,3,4668.310567684395,1974,14.362503474991062,13,4,4,49,268.9392526145629,394.8161277687521,0
26,1757.5555827977328,9,7335.098484246907,932,15.323480866394496,20,5,4,59,689.4580800019363,360.2014614629771,1
257,2493.276060182566,0,1565.0430589217642,2340,6.422743755322019,29,5,4,59,106.8761594826252,374.1985578656662,1
240,2246.695144286351,9,8540.32204082538,1778,9.792805985113581,20,5,1,20,352.4363227891677,326.6075319968051,1
349,1461.196123623867,5,7137.758695154959,715,23.84658763995578,16,2,5,36,323.4148043700248,441.8202515214007,0
53,2297.6192520595523,1,9078.733807464856,505,27.51575306389675,8,4,3,46,751.0625443076044,362.0608190922674,1
63,62.98501567413327,2,1410.4865524462273,1849,11.113925759586333,16,2,2,19,130.97649247747904,354.5677730625634,1
174,2438.914549215599,7,5970.843553569917,192,9.555682325166035,4,1,5,26,17.77899175948865,372.8759579574034,1
192,1252.334509184022,9,6031.293791899219,753,6.2583163548705345,25,0,1,34,198.08731811762289,354.74427341182303,0
275,1821.0954367233503,5,3599.2613314131463,533,20.515489475192147,24,5,4,53,658.018719217237,414.5149663305331,1
194,2061.1106092257137,2,4638.817603235652,1235,10.03144119915695,29,4,2,34,175.36423467714346,333.4948647555778,1
179,1810.2203135495565,6,476.01747656954933,474,29.63861140342606,19,5,3,29,200.29367032733134,409.09960025963255,0
55,1360.8399935100308,3,7484.014382407418,1166,10.10770166088662,28,2,5,37,112.62005558408053,378.333003209725,0
368,1217.7177361097094,8,5538.292546091423,306,12.127013380087531,7,3,5,20,575.194600588467,408.502314778929,0
59,2104.527268821431,4,671.6364135048204,879,18.298358788255026,5,1,2,21,64.64761049927958,390.57223287764344,0
248,552.4400223661748,2,6839.483340308807,1419,24.149686649143497,10,0,1,34,271.65455883953206,415.54928347469973,0
324,2421.585462935374,1,4721.14256458876,1241,14.350800627696193,18,1,3,54,233.17399403056197,386.41459573812597,0
135,1791.8335731500333,1,441.1664683075,631,12.968352996774271,3,3,2,59,448.5761865342223,386.7114975734049,1
311,538.7919719788833,2,9699.116495796145,2313,29.871316091046843,17,0,4,32,587.0288493655911,469.6136977955565,0
139,1853.805600061296,1,9496.210216585461,189,0.809562413628361,0,3,3,50,430.97238341043044,356.69157508592565,0
25,1348.1080567937358,3,5177.733919857255,1217,26.904426021111753,12,1,5,33,745.5105344503035,434.7674125307736,0
333,1782.7137343288891,1,1027.356964988511,112,4.899654365222254,13,2,2,28,761.6396847209922,359.4950722012376,0
171,1931.059778534955,9,7570.750093826059,1957,23.684795648162947,23,1,5,37,295.5576095138272,427.750565916398,0
278,263.86093999470484,8,4970.117891046718,904,18.72898101546579,0,1,5,55,624.3674972571653,414.8714534776435,0
392,1289.9546930804001,1,3094.230035064861,1044,10.584494922193716,29,1,5,41,593.6530927818699,427.66024838866855,0
93,2333.4351385294885,8,4965.039957532712,1957,26.279311187870043,28,4,1,33,715.4420274468135,381.88974605523845,1
320,835.57337079081,5,5272.197039514098,1710,0.8807632254392632,10,3,5,47,363.8754757640856,360.8110127660499,0
18,1505.0135890168522,0,5670.845820321158,2059,7.187374236210248,16,3,4,51,429.0738178862559,327.5496229912027,0
246,954.6146796992455,3,4468.114765187733,1152,17.223337489361313,3,5,4,18,338.46170772944345,417.5723232222463,0
269,1162.9565319367941,0,6096.977501076661,395,10.87049667146609,25,3,3,41,681.7977662467674,371.38399870704967,0
350,1394.0776389484754,5,9195.473635003136,1025,18.506136111890665,11,5,5,41,191.46482913608614,384.183956791301,0
57,1394.8588507279944,3,3686.4540622760524,739,1.2112507055556714,9,4,5,26,199.37017181153132,339.9422014331575,0
390,544.2396327090778,2,7284.592985877496,2487,3.935538449210519,5,2,2,39,304.358031825893,349.0682065916203,0
344,1727.2002923055916,2,8955.0803125599,727,4.249339086443958,24,5,1,29,191.97083736085744,320.50908925642887,1
96,265.27687254450916,8,4614.194830023375,1267,6.0838675545222785,0,1,3,34,453.1954007677874,362.77679870299414,0
371,390.1206949329499,5,4490.212780180851,1041,14.050277503616012,6,2,5,42,116.24718413144682,408.0400420822433,0
268,56.64170356510769,8,6060.958155012318,929,22.68779663653535,25,4,2,45,262.9471133292037,383.7134088679962,0
39,335.9053571471192,4,5954.926918282632,1870,27.213395718902582,26,3,1,32,731.6213117957161,407.16828189548494,0
210,1209.257192577136,1,8085.234489030142,1075,25.14348964338526,20,5,3,47,333.2881293515188,362.47912942491615,1
85,1534.9496085868045,7,4817.185499405097,1054,6.308192217382665,27,1,3,44,601.1046360298723,349.97693049426243,0
54,1996.009152417833,4,9961.617201430467,1362,13.513941290803656,15,0,5,39,99.63513144819346,413.59886108558726,0
